Title,_filename,author,date,document_type,summary
UNESCO Review,IMG_0318_metadata.json,Unknown,1965-03-00,Magazine,Aerial view of a large flock of birds flying over a landscape.
Personal Notes,IMG_0308_metadata.json,Graeme,Unknown,Personal Notes,Notes about historical events and personal correspondence.
Underwater Research,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"Two divers are conducting research underwater, one is taking notes while the other is examining a sample."
"US, Europe seek to end Albania turmoil",IMG_0306_metadata.json,P.T Singam,1997-03-06,Newspaper Article,The United States and Europe were leading diplomatic efforts to tackle the crisis in Albania as clashes between soldiers and rioters escalated.
The Cambridge Atlas of the Middle East and North Africa,IMG_0315_metadata.json,"Gerald Blake, John Dewdney and Jonathan Mitchell",1990-06-00,Paperback,"A comprehensive atlas providing detailed maps and descriptions of the political, economic, and geographical aspects of the Middle East and North Africa region."
Sermon on The Mount,IMG_0305_metadata.json,Unknown,2017-07-01,Book Review,A review of a book discussing the historical context and significance of the Mount Panorama race in Australia.
The Australian History Teacher,IMG_0316_metadata.json,Unknown,1987-01-01,Journal,"A journal issue of 'The Australian History Teacher' published by the History Teachers' Association of Australia, focusing on historical education."
Contents,IMG_0317_metadata.json,Unknown,Unknown,Journal/Table of Contents,A list of articles and their corresponding page numbers in a publication.
The First Complete Collection of U.N. Documents on the Arab-Israeli Conflict from 1947 through 1986,IMG_0313_metadata.json,United Nations,1986,Compilation,A comprehensive compilation of United Nations documents related to the Arab-Israeli conflict spanning from 1947 to 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Unknown,Unknown,Catalog,"A collection of books on the Middle East, including titles on the Islamic World and North Africa."
Island Nation,IMG_0303_metadata.json,John Irromenger,1999-03-04,Letter,A congratulatory letter to Frank Broeze on his book being shortlisted for the WA Premier's Award.
Instructions for Photo Submission,IMG_0307_metadata.json,Graeme Andrews,Unknown,Instructions,"The document provides guidelines for submitting photos, including the need for captions and the date of the photo."
Beagle,IMG_0310_metadata.json,Unknown,Unknown,Photograph,"A group of people are on a boat named 'Beagle', which is part of the W.A. Museum's fleet."
Ports and Port Cities as Places of Social Interaction: A Preliminary Historical Bibliography,IMG_0309_metadata.json,Dr. Joan Wardrop,1981,Bibliography,This document provides a bibliographic index of historical sources related to ports and port cities in the Indian Ocean region.
Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09-01,Bibliography,A preliminary historical bibliography on ports and port cities in the Indian Ocean region.
UNESCO Review,IMG_0319_metadata.json,Unknown,1985-03,Journal,"The UNESCO Review discusses various topics related to cultural and educational issues, including the importance of preserving natural landscapes and the role of UNESCO in promoting cultural heritage."
