Title,_filename,author,date,document_type,summary
,IMG_0318_metadata.json,,,,
,IMG_0308_metadata.json,,,,
Underwater Archaeological Survey,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"This black and white photograph depicts two divers conducting an underwater archaeological survey, documenting a submerged structure with surveying equipment."
,IMG_0306_metadata.json,,,,
,IMG_0315_metadata.json,,,,
,IMG_0305_metadata.json,,,,
The Journal of the History Teachers' Association of Australia,IMG_0316_metadata.json,The Australian History Teachers' Association of Australia,1987-01-01,Journal,"This journal, number 14, published by the Australian History Teachers' Association of Australia, likely contains articles and resources related to Australian history education."
Contents of Australian Historical Journal,IMG_0317_metadata.json,"Tom Stannage, Michael Cigler, Margaret Valadian, Neville Green, Frank Broeze, Graeme Henderson",Unknown,Journal Contents,"This document appears to be the table of contents for an Australian historical journal, listing articles and authors."
United Nations Documents on the Arab-Israeli Conflict,IMG_0313_metadata.json,Unknown,Unknown,Book,This document presents a complete collection of United Nations documents related to the Arab-Israeli conflict from 1947 to 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Cambridge University Press,Unknown,Book Catalogue,"This document lists new and recent books focusing on the Middle East, including titles on The Islamic World and North Africa."
,IMG_0303_metadata.json,,,,
,IMG_0307_metadata.json,,,,
Beagle Boat at Sea,IMG_0310_metadata.json,Unknown,Unknown,Photograph,"This black and white photograph depicts a boat named 'Beagle' with the 'W.A. Museum' logo, traveling across the ocean with people onboard."
,IMG_0309_metadata.json,,,,
Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09-01,bibliography,This document presents a preliminary historical bibliography exploring ports and port cities as sites of social interaction within the Indian Ocean region.
,IMG_0319_metadata.json,,,,
