Title,_filename,author,date,document_type,summary
UNESCO Review - March 1985,IMG_0318_metadata.json,Unknown,1985-03,Magazine,"This is the March 1985 issue of UNESCO Review, featuring a cover image of a large crowd of people."
Notebook Entries,IMG_0308_metadata.json,Unknown,Unknown,Notebook,"This document contains handwritten notes from a notebook, including dates, locations, and personal observations."
Underwater Archaeological Survey,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"Two divers are meticulously documenting an underwater archaeological site, likely a shipwreck or submerged structure."
"US, Europe seek to end Albania turmoil",IMG_0306_metadata.json,P. Singam,1997-03-06,News Article,"The United States and Europe are leading diplomatic efforts to address the escalating crisis in Albania, marked by widespread looting and violence, as the government imposes censorship and struggles to maintain control."
The Cambridge Atlas of the Middle East & North Africa,IMG_0315_metadata.json,"GERALD BLAKE, JOHN DEWDNEY and JONATHAN MITCHELL",1989-06-01,Atlas,"This atlas provides a unique and authoritative reference source for the political and economic status of all countries from Morocco to Iran, with detailed maps and accompanying descriptive accounts."
Sermon on The Mount,IMG_0305_metadata.json,Unknown,Unknown,Book Review,"This document appears to be a book review or article discussing the book 'Sermon on The Mount' and its themes, potentially within the context of a larger collection of books."
The Australian History Teacher Journal - Number 14,IMG_0316_metadata.json,Unknown,1987-01-01,Journal,"This is the 14th issue of the Australian History Teacher Journal, published by the Association of N.S.W. Journal."
Contents of a Journal,IMG_0317_metadata.json,Unknown,Unknown,Table of Contents,"This document appears to be a table of contents for a journal, listing articles and their corresponding page numbers."
The First Complete Collection of UN Documents on the Arab-Israeli Conflict,IMG_0313_metadata.json,Unknown,Unknown,Collection of UN Resolutions,This document presents the first complete collection of UN documents related to the Arab-Israeli conflict from 1947 through 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Unknown,Unknown,Catalog,This document is a catalog of new and recent books published by Cambridge University Press on the Middle East and Islamic Africa.
Island Nation,IMG_0303_metadata.json,John Trengove,1999-03-04,letter,This letter informs Professor Frank Bongiorno that his book has been shortlisted for the WA Premier's Award.
Photos and Notes,IMG_0307_metadata.json,GRAEME ANDREWS,Unknown,handwritten note,"The document contains a thank you note for published photos and some notes about the photos, including details about the background and a description of a building."
WA Museum Boat,IMG_0310_metadata.json,Unknown,Unknown,photograph,"A black and white photograph of a boat named 'Beagle' with 'W.A. Museum' written on it, traveling on the water with people on board."
Ports and Port Cities as Places of Social Interaction,IMG_0309_metadata.json,Unknown,Unknown,Index,"This document appears to be an index related to a bibliography on ports and port cities in the Indian Ocean region, with references to various sources and page numbers."
Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region: A Preliminary Historical Bibliography,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09,Bibliography,This document is a preliminary historical bibliography focusing on ports and port cities as places of social interaction within the Indian Ocean region.
UNESCO Review - March 1985,IMG_0319_metadata.json,Unknown,1985-03,Magazine,"This issue of UNESCO Review features articles on topics such as the Imperial ports of the Indian Ocean, Southern Ocean sanctuary, Murry-Darling reserve, and protection of Aboriginal folklore."
