filename,author,date,title,summary,document_type
IMG_0318,Unknown,1985-03,"No. 10, March 1985 of Unesco Review","No. 10, March 1985 of Unesco Review including articles by Frank Broeze, Kenneth McPherson, Peter Reeves, David Rounsevell, Geoff Copson, John Young, Robin Bell and Miles Lewis",Journal/Magazine
IMG_0308,Graeme Andrews,Unknown,Letter from Graeme Andrews to Frank Broeze,Letter from Graeme Andrews to Frank Broeze about photos that were requested to be included in his book. It contains descriptions of the photos provided.,Letter
IMG_0311,Unknown,Unknown,Divers recording coins found at a wreck site,Photograph of divers recording coins found at a wreck site,Photograph
IMG_0306,Unknown,6-Mar-97,"US, Europe seek to end Albania turmoil","Article ‘Us, Europe seek to end Albania turmoil’ from The West Australian on Thursday March 6, 1997",Newspaper article
IMG_0315,Unknown,Jun-90,New and Recent Books on the Middle East,"Brochure from Cambridge University Press advertising new and recent books on the Middle East, including titles on the Islamic world and North Africa",Brochure
IMG_0305,Unknown,17-Jan-98,Book reviews from the Weekend Australian,"Book review section from the Weekend Australian 17-18 January, 1998 including reviews of Bathurst: Cradle of Australian Motor Racing by John Medley, Turon and Armstrong, Oscar Wilde by Richard Ellam, Island Nation: A History of Australians and the Sea by Frank Broeze and The Sayings of Brendan Behan edited by Aubrey Dillon-Malone",Newspaper article
IMG_0316,Unknown,1987,"Number 14, 1987 of The Australian History Teacher journal","Number 14, 1987 of The Australian History Teacher journal including articles by Tom Stannage, Michael Cigler, Margaret Valadian, Neville Green, Frank Broeze and Graeme Genderson",Journal/Magazine
IMG_0317,Unknown,Unknown,Contents (table of content),"This document is a table of content, unclear which book/journal it belongs to",Table of contents
IMG_0313,Unknown,Unknown,Introducing the First Complete Collection of U.N. Documents on the Arab-Israeli Conflict from 1947 through 1986,Introducing the First Complete Collection of U.N. Documents on the Arab-Israeli Conflict from 1947 through 1986,Brochure
IMG_0314,Unknown,Jun-90,New and Recent Books on the Middle East,"Brochure from Cambridge University Press advertising new and recent books on the Middle East, including titles on the Islamic world and North Africa",Brochure
IMG_0303,John Iremonger,4-Mar-99,Letter from John Iremonger to Frank Broeze,"Letter from John Iremonger, Academic Publishing Director at Allen & Unwin to Frank Broeze congratulating him on his book being shortlisted for the WA Premier’s Award.",Letter
IMG_0307,Graeme Andrews,Unknown,Letter from Graeme Andrews to Frank Broeze,Letter from Graeme Andrews to Frank Broeze about photos that were requested to be included in his book. It contains descriptions of the photos provided.,Letter
IMG_0310,Unknown,Unknown,WA Museum workboat ‘The Beagle’,Photograph of WA Museum workboat ‘The Beagle’,Photograph
IMG_0309,Dr Joan Wardrop,16-Mar-83,Author Index to Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region: A Preliminary Historical Bibliography,"Author Index to Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region: A Preliminary Historical Bibliography prepared by Dr Joan Wardrop relating to the bibliography prepared by Peter Reeves, Frank Broeze and Kenneth McPherson in September 1981",Book
IMG_0320,"Peter Reeves, Frank Broeze and Kenneth McPherson",Sep-81,Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region: A Preliminary Historical Bibliography,Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region: A Preliminary Historical Bibliography published by the Centre for South & Southeast Asian Studies at the University of Western Australia,Book
IMG_0319,Unknown,Mar-85,"No. 10, March 1985 of Unesco Review","No. 10, March 1985 of Unesco Review including articles by Frank Broeze, Kenneth McPherson, Peter Reeves, David Rounsevell, Geoff Copson, John Young, Robin Bell and Miles Lewis",Journal/Magazine
