Title,_filename,author,date,document_type,summary
UNESCO Review,IMG_0318_metadata.json,Unknown,1965-03-00,Magazine,Aerial view of a large flock of birds flying over a landscape.
Notes on Historical Images,IMG_0308_metadata.json,Unknown,Unknown,Notebook Entry,"Notes on historical images and their descriptions, including a ferry book and a photo from the 1930s."
Underwater Archaeology,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"Two divers are conducting an archaeological excavation underwater, examining and documenting artifacts."
"US, Europe seek to end Albania turmoil",IMG_0306_metadata.json,Unknown,1997-03-06,News Article,The United States and Europe were leading diplomatic efforts to tackle the crisis in Albania as clashes between soldiers and rioters escalated.
The Cambridge Atlas of the Middle East and North Africa,IMG_0315_metadata.json,"Gerald Blake, John Dewdney and Jonathan Mitchell",1990-06-00,Paperback,This Atlas provides a unique and authoritative reference source for the political and economic status of all countries from Morocco to Iran.
Sermon on The Mount,IMG_0305_metadata.json,Unknown,2017-07-01,Book Review,Sixty years of wheels on fire on the twisted ribbon of road above Bathurst
The Australian History Teacher,IMG_0316_metadata.json,Unknown,1987-01-01,Journal,"A journal of the History Teachers' Association of Australia, issue 14 from 1987."
Contents,IMG_0317_metadata.json,Unknown,Unknown,Table of Contents,A list of articles and their corresponding page numbers in a publication.
The FIRST COMPLETE COLLECTION of U.N. DOCUMENTS on the ARAB-ISRAELI CONFLICT From 1947 through 1986,IMG_0313_metadata.json,United Nations,1986,Collection,A comprehensive collection of United Nations documents related to the Arab-Israeli conflict spanning from 1947 to 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Unknown,Unknown,Catalog,"A collection of books focusing on the Middle East, including titles on the Islamic World and North Africa."
Island Nation,IMG_0303_metadata.json,John Irromenger,1999-03-04,Letter,Congratulations on your book being shortlisted for the WA Premier's Award. We are excited to see the merits of a good book recognized and proclaimed.
Letter to Frank,IMG_0307_metadata.json,Graeme Andrews,Unknown,Letter,A letter expressing happiness at having photos published and providing details about the photos.
Beagle,IMG_0310_metadata.json,Unknown,Unknown,Photograph,"A group of people are on a boat named 'Beagle', which is part of the W.A. Museum's fleet."
Ports and Port Cities as Places of Social Interaction: A Preliminary Historical Bibliography,IMG_0309_metadata.json,Dr. Joan Wardrop,1981,Bibliography,This index provides a comprehensive list of sources related to the historical role of ports and port cities in the Indian Ocean region.
Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09-01,Bibliography,A preliminary historical bibliography on ports and port cities in the Indian Ocean region.
UNESCO Review,IMG_0319_metadata.json,Unknown,1985-03,Journal,"The document discusses various topics related to UNESCO, including imperial ports of the Indian Ocean, Southern Ocean sanctuary, and regional conservation manifesto."
