Title,_filename,author,date,document_type,summary
Iljesco Review,IMG_0318_metadata.json,Unknown,1985-03-00,Magazine,"This appears to be the cover of a magazine or journal titled 'Iljesco Review' from March 1985, featuring a black and white image of a snowy landscape."
Unknown,IMG_0308_metadata.json,Unknown,1900-10-16,Personal Note,"This handwritten note discusses a trip, mentions a photo, and references a letter to someone named 'Edwards'."
Underwater Archaeological Survey,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"The image depicts divers conducting an underwater archaeological survey, documenting a submerged structure with surveying equipment."
,IMG_0306_metadata.json,,,,
The Cambridge Atlas of the Middle East & North Africa,IMG_0315_metadata.json,"Gerald Blake, John Dewdney and Jonathan Mitchell",1989-06-01,Atlas,"This atlas provides a unique and authoritative reference source for the political and economic status of all countries from Morocco to Iran, described in a series of maps showing the physical environment, climate, and water resources of the region."
,IMG_0305_metadata.json,,,,
The Journal of the History Teachers' Association of Australia,IMG_0316_metadata.json,The Australian History Teachers' Association of Australia,1987-01-01,Journal,"This journal, number 14, appears to be a publication from the Australian History Teachers' Association of Australia, likely containing historical articles and resources."
CONTENTS,IMG_0317_metadata.json,"Tom Stannage, Michael Cigler, Margaret Valadian, Neville Green, Frank Broeze, Graeme Henderson",Unknown,Table of Contents,"This document appears to be a table of contents for a publication featuring articles on Aboriginal history, maritime history, and archaeological topics."
The FIRST COMPLETE COLLECTION of UN. DOCUMENTS on the ARAB-ISRAELI CONFLICT From 1947 through 1986,IMG_0313_metadata.json,Unknown,Unknown,Book,This document appears to be a collection of United Nations documents related to the Arab-Israeli conflict spanning from 1947 to 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Cambridge University Press,Unknown,Book Catalog,"This document lists new and recent books focusing on the Middle East, including titles on The Islamic World and North Africa."
Unknown,IMG_0303_metadata.json,John Freeman,1999-03-04,Letter,This letter congratulates Frank Broeze on his book being shortlisted for the WA Premier's Award and praises the merits of good book publishing.
Unknown,IMG_0307_metadata.json,Graham Andrews,1954-Unknown,letter,"This handwritten letter discusses photos, a finished work, and mentions a building at the left."
Beagle Boat,IMG_0310_metadata.json,Unknown,Unknown,Photograph,"This black and white photograph depicts a boat named 'Beagle' with the 'W.A. Museum' logo, traveling across the water with people onboard."
PORTS AND PORT CITIES AS PLACES OF SOCIAL INTERACTION IN THE INDIAN OCEAN REGION: A BIBLIOGRAPHY,IMG_0309_metadata.json,Unknown,Unknown,Bibliography,"This bibliography, prepared by Dr. Joan Wardrop, relates to the history of ports and port cities in the Indian Ocean region, specifically focusing on the Centre for South East Asian Studies, University of Western Australia, in September 1981."
PORTS AND PORT CITIES AS PLACES OF SOCIAL INTERACTION IN THE INDIAN OCEAN REGION,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09-01,bibliography,This document presents a preliminary historical bibliography exploring ports and port cities as locations of social interaction within the Indian Ocean region.
,IMG_0319_metadata.json,,,,
