Title,_filename,author,date,document_type,summary
UNESCO Review,IMG_0318_metadata.json,Unknown,1985-03,Magazine,"This is the March 1985 issue of UNESCO Review, featuring a black and white photograph of a large crowd of people."
Unknown,IMG_0308_metadata.json,Unknown,Unknown,handwritten journal,This document appears to be a handwritten journal entry with notes about places and a letter.
Underwater Archaeological Survey,IMG_0311_metadata.json,Unknown,Unknown,Photograph,"This image depicts two divers conducting an archaeological survey underwater, likely documenting a shipwreck or submerged site."
"US, Europe seek to end Albania turmoil",IMG_0306_metadata.json,P. Singam,1997-03-06,News Article,"The United States and Europe are leading diplomatic efforts to address the escalating crisis in Albania, marked by widespread looting and violence, as the government imposes censorship and struggles to maintain control."
The Cambridge Atlas of the Middle East & North Africa,IMG_0315_metadata.json,"GERALD BLAKE, JOHN DEWDNEY and JONATHAN MITCHELL",1989,Atlas,"This atlas provides a unique and authoritative reference source for the political and economic status of all countries from Morocco to Iran, with detailed maps and sections covering the region's physical environment, climate, and political features."
Sermon on The Mount,IMG_0305_metadata.json,Unknown,Unknown,Book Review,"This document appears to be a book review or article discussing the book 'Sermon on The Mount' by Eldon Weisgard, focusing on its themes and historical context."
The Australian History Teacher,IMG_0316_metadata.json,Unknown,1987-01-01,Journal,"This is a journal published by the Association of N.S.W. History Teachers, number 14 from 1987."
Contents,IMG_0317_metadata.json,Unknown,Unknown,Table of Contents,This document is a table of contents listing articles and their authors with corresponding page numbers.
The FIRST COMPLETE COLLECTION of UN. DOCUMENTS on the ARAB-ISRAELI CONFLICT From 1947 through 1986,IMG_0313_metadata.json,Unknown,Unknown,Collection of UN Resolutions,This document is a complete collection of United Nations documents related to the Arab-Israeli conflict from 1947 to 1986.
New and Recent Books on The Middle East,IMG_0314_metadata.json,Unknown,Unknown,Book Catalog,"This document lists new and recent books on the Middle East, including titles on the Islamic World and North Africa."
Unknown,IMG_0303_metadata.json,John Trengove,1999-03-04,letter,This letter informs Professor Frank Bongiorno that his book has been shortlisted for the WA Premier's Award.
Unknown,IMG_0307_metadata.json,GRAEME ANDREWS,Unknown,handwritten note,"This document appears to be a handwritten note from Graeme Andrews regarding photos, with comments on their selection and details about specific images."
W.A. Museum Boat,IMG_0310_metadata.json,Unknown,Unknown,photograph,"This image shows a boat named 'Beagle' belonging to the W.A. Museum, with people on board and traveling on the water."
PORTS AND PORT CITIES AS PLACES OF SOCIAL INTERACTION IN THE INDIAN OCEAN REGION: A PRELIMINARY HISTORICAL BIBLIOGRAPHY,IMG_0309_metadata.json,Unknown,Unknown,Bibliography,"This document appears to be a preliminary historical bibliography of ports and port cities as places of social interaction in the Indian Ocean region, compiled by Dr. Joan Wardrop."
Ports and Port Cities as Places of Social Interaction in the Indian Ocean Region,IMG_0320_metadata.json,"Peter Reeves, Frank Broeze, Kenneth McPherson",1981-09,Bibliography,This document is a preliminary bibliography focusing on ports and port cities as sites of social interaction within the Indian Ocean region.
unesco review,IMG_0319_metadata.json,Unknown,1985-03,Magazine,"This issue of the unesco review features articles on topics such as the Imperial ports of the Indian Ocean, Aboriginal folklore, and the protection of natural resources."
